Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
12	193	2.15e-16	15.7	6.24	27	-66	-6	27.9	-53.6	-11.6	139	27	-60	-6	75
11	108	9.67e-11	10	7.69	-30	-60	-9	-29.2	-57	-8.44	154	-27	-60	-9	79.5
10	59	8.94e-07	6.05	6.15	51	-72	-9	49.6	-69.4	-12	118	51	-72	-9	65.6
9	45	1.88e-05	4.73	4.46	45	-18	0	38.7	-10.6	0.621	122	42	-12	-6	72.4
8	33	0.000331	3.48	4.16	-3	-96	-6	-8.11	-99.9	2.63	87.4	-3	-102	6	59.5
7	33	0.000331	3.48	4.74	-48	-51	-12	-46.8	-53.7	-12.4	97.1	-48	-51	-15	69.4
6	33	0.000331	3.48	4.57	36	-81	15	35.9	-82.8	17.7	74.3	33	-84	21	57.4
5	31	0.000551	3.26	4	-3	15	33	-2.4	9.46	35.4	93.1	0	15	33	75.8
4	27	0.00158	2.8	4.89	-18	63	-12	-16.8	62.9	-9.58	148	-6	63	-9	106
3	27	0.00158	2.8	5.09	-21	-72	45	-21.2	-69.3	44.7	80.3	-24	-69	45	53.4
2	18	0.0208	1.68	3.52	54	-9	15	58.3	-11.8	13.3	114	60	-12	12	88.7
1	17	0.0284	1.55	5.32	-30	-33	-24	-30.2	-34.4	-22.9	109	-30	-33	-24	73
