Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
18	5402	0	109	13.7	-15	-105	3	4.17	-77.6	1.12	703	0	-90	3	139
17	1054	3.01e-36	35.5	8.03	48	18	-6	37.8	28.9	3.18	580	48	18	-6	141
16	394	2.29e-18	17.6	7.17	54	-42	33	51.6	-45.5	47.8	492	42	-57	57	161
15	293	6.53e-15	14.2	8.77	-24	-24	81	-42.5	-27.7	64.3	508	-33	-39	72	160
14	186	8.96e-11	10	6.68	3	-33	27	1.8	-23.5	27.5	512	0	-30	27	172
13	159	1.3e-09	8.89	6.19	-48	0	0	-44.5	6.92	1.75	405	-48	9	-6	165
12	145	5.51e-09	8.26	6.51	3	21	39	4.33	18.2	41.8	469	3	3	51	189
11	127	5.96e-08	7.22	6.06	48	0	54	46	4.88	45.9	335	45	6	36	148
10	89	3.1e-06	5.51	8.49	-63	-21	21	-60.6	-20.5	21	457	-60	-21	18	177
9	88	3.52e-06	5.45	6.62	3	3	81	-2.5	0.812	80.5	405	-9	-3	84	151
8	74	2.09e-05	4.68	6.55	-57	-45	3	-58.2	-45.5	3.54	357	-60	-45	3	144
7	54	0.00033	3.48	5.36	-54	-45	30	-56.8	-43	30	308	-54	-45	30	173
6	53	0.000382	3.42	5.19	60	-24	-21	59.7	-24.2	-22.1	162	60	-24	-21	92.2
5	34	0.00754	2.12	5.76	-45	57	-12	-42.2	58.8	-9.91	296	-42	57	-12	142
4	31	0.0126	1.9	3.82	-54	39	9	-50	40.8	6.21	141	-54	36	9	105
3	31	0.0126	1.9	4.72	-21	51	-21	-21.3	43.9	-21.2	122	-21	45	-27	82.2
2	26	0.0308	1.51	4.63	-57	-3	48	-56.6	0.0242	46.3	268	-57	6	42	126
1	25	0.0371	1.43	4.84	-24	6	-9	-23.6	6.93	-8.65	164	-24	6	-9	124
