Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
16	775	1.01e-28	28	9.97	-18	-15	66	-14.2	-10.8	61	121	6	6	54	47.2
15	548	1.31e-22	21.9	9.72	-27	-93	9	-19.2	-94.4	7.54	155	-30	-96	3	47.7
14	530	4.32e-22	21.4	9.46	24	-99	12	25	-91.8	4.88	123	21	-99	-9	39.8
13	343	2.67e-16	15.6	6.14	66	-42	33	54.7	-52.4	16.8	112	51	-45	27	47.5
12	235	1.82e-12	11.7	5.94	6	-60	-12	23.3	-52.7	-19.5	85.5	12	-60	-18	46.8
11	180	2.74e-10	9.56	6.25	63	9	12	42.8	17.6	13.8	100	36	12	27	51.6
10	179	3.01e-10	9.52	5.54	33	-69	27	25.3	-68	35.4	123	9	-75	39	54.6
9	147	7.1e-09	8.15	5.57	-6	-21	27	-0.739	-19.8	28	154	0	-24	27	64.5
8	136	2.22e-08	7.65	6.8	48	-3	48	46.5	0.436	45.8	108	51	-3	54	51.5
7	71	4.08e-05	4.39	7.15	36	-42	42	37.8	-43	42.2	129	36	-42	42	63.4
6	64	0.000103	3.99	5	-30	-69	33	-29.2	-69	35.5	72.7	-30	-75	39	47.4
5	59	0.000204	3.69	5.03	-33	-54	-33	-37.5	-57.2	-31.5	66	-39	-54	-30	42.3
4	37	0.00539	2.27	5.34	39	33	27	37.1	32.3	25.8	82.3	39	36	30	53.9
3	29	0.0205	1.69	5.01	57	-33	45	57	-37.8	46.7	72	57	-36	45	53.5
2	28	0.0244	1.61	4.87	57	-24	-6	57	-23.3	-7.67	69.1	57	-24	-6	44.4
1	26	0.0348	1.46	5.01	51	6	0	51	8.66	0.403	91.6	54	12	0	53.9
