Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
20	1989	0	51	11.3	-15	-105	3	-1.28	-85.4	3.29	627	0	-87	3	159
19	239	6.1e-12	11.2	6.2	-24	-27	81	-41.3	-24.4	65.6	509	-33	-9	72	172
18	228	1.52e-11	10.8	7.21	45	18	-6	42.2	17.9	-2.38	635	48	18	-6	217
17	172	2.03e-09	8.69	4.89	54	-42	33	50.1	-45.5	49.4	554	39	-57	57	195
16	165	3.88e-09	8.41	7.7	51	-48	-24	43.7	-50.4	-22.1	376	48	-51	-24	157
15	160	6.2e-09	8.21	5.61	6	18	48	4.4	20.8	44.4	445	3	21	45	208
14	158	7.49e-09	8.13	5.67	21	63	-12	26.2	50.8	-16.5	272	27	42	-24	129
13	156	9.05e-09	8.04	6.01	-57	-45	3	-57.8	-42.3	5.89	413	-60	-45	3	143
12	120	2.98e-07	6.53	5.35	48	39	12	48.3	38.4	14.3	318	51	42	12	168
11	116	4.77e-07	6.32	4.83	45	6	39	45.3	6.76	42.2	414	45	6	36	184
10	112	7.15e-07	6.15	5.18	0	-33	27	0.924	-23.5	27.2	498	0	-30	27	207
9	110	8.94e-07	6.05	5.09	57	-21	-3	58.8	-29.6	-3.36	281	66	-33	-6	157
8	55	0.00061	3.21	4.81	-33	21	-9	-37.6	19.6	-5.97	316	-48	12	-6	184
7	51	0.00105	2.98	5.35	-60	-18	18	-59.4	-18.3	21.2	376	-60	-21	18	179
6	47	0.00183	2.74	6.12	-3	6	81	-2.46	6.01	79.2	287	-3	6	78	171
5	40	0.00506	2.3	4.93	3	-81	-15	2.2	-76.1	-14.2	433	0	-84	-15	187
4	38	0.00684	2.17	4.41	-60	-21	42	-58.5	-22	41.7	358	-60	-24	42	222
3	37	0.00796	2.1	5.24	-42	-54	-6	-44.5	-57.3	-8.33	198	-45	-54	-9	123
2	32	0.0174	1.76	4.18	63	-15	18	58.6	-16.1	28.2	204	60	-15	30	158
1	31	0.0204	1.69	4.64	45	30	24	45.1	32.2	27.8	279	45	30	24	189
