Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
13	806	6.77e-16	15.2	6.09	51	-81	18	20.5	-58.2	24.1	212	-3	-51	21	61.9
12	703	2.25e-14	13.6	6.24	-72	-18	-24	-44.4	8.9	-21.6	133	-36	15	-42	53.9
11	445	3.5e-10	9.46	5.34	6	45	-18	-0.354	51.2	-5.59	298	0	57	-6	101
10	280	4.77e-07	6.32	5.02	39	30	-18	52.9	-3.26	-14.8	166	60	-9	-9	60.5
9	244	2.68e-06	5.57	5.52	72	-15	0	65.9	-26.5	26	99.2	72	-15	0	44.4
8	157	0.00027	3.57	4.46	36	-15	72	35	-26.6	61.8	79.8	36	-27	63	47.1
7	154	0.000321	3.49	7.69	-21	-84	-57	-30.8	-82.8	-54.8	103	-24	-81	-57	44.6
6	147	0.000482	3.32	4.47	-15	48	30	-17.8	43.2	36	119	-18	51	39	69.1
5	139	0.000774	3.11	5.39	27	15	-39	38.8	12.8	-35.8	106	27	15	-39	52.2
4	111	0.00438	2.36	4.65	60	33	18	52.4	26.7	8.76	176	57	24	15	69.1
3	81	0.033	1.48	5.28	15	-84	-57	22	-76.6	-58.1	66.3	15	-84	-57	42.5
2	79	0.038	1.42	3.77	-54	-75	30	-48.1	-63.3	23.5	113	-42	-63	21	60.2
1	76	0.047	1.33	4.18	-3	-30	-39	-4.25	-32.1	-38.6	112	-6	-27	-39	62
