Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
10	1584	9.01e-26	25	7.15	38	16	25	32.1	16.3	22.8	491	43	13	24	154
9	738	7.36e-15	14.1	5.57	41	23	38	40.1	24.2	42	424	38	19	47	144
8	576	2.35e-12	11.6	5.8	45	60	30	44.8	55	32.2	287	46	60	32	123
7	339	5.96e-08	7.22	5.63	22	22	36	22.5	23.5	40.7	427	24	20	42	150
6	200	2.63e-05	4.58	4.37	21	37	50	21.1	37	48.9	364	21	37	50	140
5	179	8.14e-05	4.09	4.67	44	43	42	42.3	47	45	316	41	49	47	121
4	147	0.000498	3.3	4.31	34	48	43	33.2	49.7	40.7	308	33	46	42	145
3	135	0.00102	2.99	4.4	17	46	39	17.7	46.1	37.3	338	17	45	38	150
2	112	0.00423	2.37	4.83	20	62	32	17.3	58.5	33.7	275	20	62	33	134
1	76	0.048	1.32	4.18	23	41	43	23.4	43.3	43.5	183	23	41	43	106
