Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
11	3882	0	47.4	7.4	18	39	45	30.1	32.3	42.9	564	24	20	42	140
10	3195	4.4e-42	41.4	7.62	39	18	23	31	19.2	20.1	834	28	31	8	138
9	516	2.27e-11	10.6	5.68	46	54	31	43.9	57.6	34.2	394	48	56	33	127
8	452	2.82e-10	9.55	5.04	20	62	32	18.4	53.3	35.8	370	17	45	38	132
7	347	2.32e-08	7.64	5.06	41	37	24	36.8	36.7	24	334	38	34	24	127
6	331	5.96e-08	7.22	4.54	33	30	33	34.7	34.4	34	297	32	28	28	123
5	157	0.000279	3.55	5.32	23	66	28	22.6	65.8	26.1	329	23	66	28	149
4	156	0.000296	3.53	6.52	48	47	32	47.6	47.1	33	293	48	47	32	125
3	128	0.00155	2.81	3.85	19	47	22	20.6	43.5	17.8	330	22	45	14	149
2	108	0.00547	2.26	3.85	46	51	26	44	51.4	25.5	205	45	51	22	125
1	95	0.0129	1.89	4.94	40	63	22	40.4	64.7	23.6	217	39	68	25	116
