Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
16	715	1.62e-14	13.8	4.91	36	19	12	35.4	19.5	14.3	177	36	17	20	72.6
15	698	2.93e-14	13.5	5.88	19	43	45	20.5	40	45	241	23	41	50	91.2
14	451	2.93e-10	9.53	5.86	45	49	35	46.3	48.5	37.1	260	50	50	38	112
13	448	3.31e-10	9.48	5.19	23	24	43	23.2	22.1	41.6	260	24	20	42	110
12	404	2.02e-09	8.7	5.41	49	28	33	50.6	27.3	32.4	164	53	27	32	83.7
11	332	5.96e-08	7.22	6.97	14	22	35	14.5	25.2	33.3	404	14	23	34	104
10	313	1.19e-07	6.92	4.77	16	44	38	16.4	48.2	35.9	307	14	50	37	108
9	242	3.1e-06	5.51	4.66	29	37	29	30.2	33.4	30.1	258	30	32	27	108
8	233	4.83e-06	5.32	4.33	30	47	42	32	49.7	42.2	279	32	54	46	112
7	227	6.5e-06	5.19	4.61	29	58	15	30.4	50.7	22.7	224	31	47	24	109
6	214	1.26e-05	4.9	5.76	23	16	21	24.6	14.1	22.7	279	30	11	24	112
5	155	0.000313	3.5	4.5	41	23	41	41.1	22.4	42	199	40	20	46	101
4	151	0.000395	3.4	3.46	21	63	29	21.8	63	31.2	179	28	67	32	96.1
3	112	0.00423	2.37	4.5	40	62	23	40.5	60	22.6	115	39	63	23	68
2	95	0.0129	1.89	5.34	17	21	22	17	21.9	22.4	181	17	22	23	84
1	87	0.0222	1.65	4.81	48	24	22	47.6	23.4	21.3	157	46	20	20	81.8
