Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
11	3116	0	45.3	6.87	0	-48	-21	-13.7	-28.1	-20.5	197	-27	6	-36	48
10	549	2.5e-13	12.6	7.84	54	51	-15	51.9	7.64	26.8	121	57	27	9	41.3
9	448	1.98e-11	10.7	6.72	54	3	-30	45.1	2.73	-29.5	181	39	12	-18	53.8
8	399	1.86e-10	9.73	5.61	-6	-69	0	-1.84	-63.8	13.1	153	0	-51	21	52.8
7	248	3.58e-07	6.45	4.63	-51	18	12	-47.7	8.65	23	59.5	-51	33	6	30.8
6	207	3.64e-06	5.44	4.89	3	60	15	4.64	57.1	20.6	105	0	60	0	46.9
5	172	2.92e-05	4.53	6.24	39	-78	-60	17	-79	-55.9	158	42	-75	-57	54.1
4	92	0.00661	2.18	5	60	-24	9	42.9	-25.6	8.83	63.1	60	-24	9	30
3	82	0.0143	1.85	5.52	12	36	-18	12.7	34.5	-21.3	98.6	15	36	-18	55.8
2	77	0.0212	1.67	4.57	-69	-51	15	-70.3	-48.2	14.3	65.3	-63	-60	24	27.6
1	75	0.0249	1.6	4.83	-30	18	42	-27.5	23.6	41	41.8	-33	24	48	23.1
