Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
11	1606	2.25e-25	24.6	10	27	9	27	30.8	14.8	26.8	650	32	14	27	164
10	967	1.22e-17	16.9	4.99	51	57	23	45.2	56.7	24.8	573	48	50	24	160
9	458	4.22e-10	9.37	4.84	33	50	42	33.4	55	41.1	558	33	56	46	198
8	344	5.96e-08	7.22	4.14	9	30	32	12.7	29	28.5	399	12	29	27	134
7	288	5.36e-07	6.27	4.36	14	58	23	16.9	54.8	24.3	299	14	52	24	155
6	275	9.54e-07	6.02	4.88	54	34	23	50.4	31.7	22.1	425	54	32	24	149
5	262	1.79e-06	5.75	4.53	52	27	39	49.1	27.7	41.8	577	46	25	45	194
4	179	0.000115	3.94	5.03	45	47	40	46.1	47.5	40.1	413	44	46	40	203
3	170	0.000186	3.73	5.38	24	36	54	19.2	32.4	46.7	404	21	31	50	172
2	127	0.00216	2.66	3.85	13	47	41	14.5	48.3	36.7	389	14	48	37	181
1	81	0.041	1.39	7.5	49	18	21	47.9	18.1	21.1	359	48	18	21	155
