Cluster Index	Z	x	y	z	
8	6.69	63	-27	-21
8	6.55	51	-42	39
8	6.54	63	-60	24
8	6.4	54	-69	18
8	6.3	54	-60	45
8	6.23	-57	-42	36
7	5.44	-57	-15	-24
7	4.96	-30	15	-39
7	4.82	-42	18	-45
7	4.81	-48	9	-27
7	4.6	-36	12	-39
7	4.38	-42	-12	-30
6	4.75	-18	39	6
6	4.49	-39	48	24
6	3.93	-12	24	-15
6	3.5	-3	30	-3
6	3.46	-9	27	6
6	3.42	0	30	3
5	4.31	-36	27	36
5	3.92	-33	15	51
5	3.85	-39	27	48
5	3.28	-39	9	60
5	3.24	-39	18	45
5	3.13	-45	15	51
4	4.32	9	27	-27
4	4.14	3	30	-24
4	3.74	18	33	-27
4	3.55	12	15	-27
4	3.24	-9	27	-27
4	3.17	-12	36	-27
3	3.21	-6	-63	-18
3	3.18	3	-57	-15
3	3.17	3	-60	-33
3	3.08	-9	-72	-15
3	3.05	-6	-54	-27
3	3.05	-6	-66	-24
2	4	6	-27	-36
2	3.67	6	-36	-27
2	3.6	-12	-27	-30
2	2.85	-9	-18	-27
2	2.76	3	-33	-42
1	4.19	39	21	-39
1	4.06	42	15	-30
1	3.08	33	24	-48
1	2.49	33	18	-51
