Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
16	1477	0	46.4	11.5	-18	-15	66	-14.2	-10.3	60.1	230	3	3	54	65
15	488	4.82e-22	21.3	8	-6	-102	0	-12.7	-94.8	0.433	136	-30	-96	3	48.2
14	323	1.63e-16	15.8	6.78	6	-60	-9	19	-53.8	-19.7	124	9	-63	-18	61.6
13	166	2.93e-10	9.53	7.56	30	-93	12	25	-95	15.5	93.1	30	-90	9	37.9
12	93	1.13e-06	5.95	7.76	63	9	12	53	6.97	6.74	89.2	51	3	0	54.9
11	83	4.11e-06	5.39	6.6	54	3	42	49.5	-0.991	45.6	145	51	-3	54	56.9
10	79	6.91e-06	5.16	6.87	-48	0	9	-47.2	0.927	7.37	122	-45	-3	9	62.2
9	78	7.93e-06	5.1	5.27	54	-30	30	55.9	-38.8	29.6	108	51	-45	27	58.7
8	77	9e-06	5.05	4.99	6	-18	3	7.21	-18.7	-1.9	94.7	6	-18	6	56.6
7	72	1.78e-05	4.75	6.4	-54	-21	21	-50.9	-22.5	20.3	157	-57	-21	21	72.4
6	51	0.000369	3.43	4.95	33	15	9	34.7	21.1	7.28	79	36	24	3	56.3
5	44	0.00111	2.95	5.37	-18	-21	6	-14.1	-18.8	4.5	87.1	-9	-18	6	55.1
4	40	0.00214	2.67	5.29	-42	-54	-33	-38	-54.6	-31.9	80.1	-39	-54	-30	49.8
3	35	0.00499	2.3	4.47	33	-66	33	32.1	-68.7	31.1	77.3	33	-75	30	52.7
2	33	0.00709	2.15	6.02	36	-42	42	37.1	-41.9	41.3	121	36	-42	42	68
1	27	0.0211	1.68	6.17	36	-69	-12	36.6	-69.2	-12	84.2	36	-69	-12	46.6
