Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
11	2812	2.62e-29	28.6	6.83	69	-15	-3	14.8	-54	-30	392	-3	-57	-60	65.4
10	374	1.31e-06	5.88	5.26	21	45	-21	27.1	54.2	-1.4	253	15	72	6	96.3
9	315	9.78e-06	5.01	4.37	-3	18	63	-11.7	8.62	58.1	165	0	18	48	81.5
8	288	2.54e-05	4.6	5.2	-48	15	-45	-40.8	29.1	-18.5	147	-57	39	-6	80.7
7	276	3.92e-05	4.41	4.87	-66	-3	0	-57.5	-3.25	7.66	177	-60	15	18	73
6	256	8.17e-05	4.09	4.44	-15	-30	72	0.88	-27.6	66.5	116	24	-18	75	54.9
5	190	0.00108	2.97	4.46	21	30	30	37	30	31	203	51	27	30	82.4
4	188	0.00117	2.93	4.88	-30	-33	15	-29.3	-24.2	7.34	120	-30	-30	12	55.3
3	180	0.00163	2.79	4.08	15	-48	48	0.506	-55.9	48.2	163	0	-69	45	80.1
2	131	0.0141	1.85	3.88	-27	54	18	-29	45.5	24.9	248	-33	60	15	88.2
1	125	0.0186	1.73	5.06	-45	-6	-33	-52.7	-5.4	-36.1	111	-54	0	-39	60
