Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
10	264	1.01e-16	16	6	27	-84	0	27.4	-91	-3.8	157	24	-87	-12	81.8
9	192	2.49e-13	12.6	5.86	-42	-18	57	-35.7	-23.7	58.9	161	-33	-24	69	78.3
8	162	8.58e-12	11.1	6.76	-3	-3	57	6.26	-0.98	58.5	223	0	-6	57	91.3
7	113	4.67e-09	8.33	4.86	-27	-87	0	-29.1	-85.6	-6.69	118	-27	-78	-15	65.7
6	55	3.25e-05	4.49	5.92	-42	-66	-15	-42.9	-67	-12.5	109	-42	-66	-18	72.5
5	54	3.87e-05	4.41	4.69	-48	0	42	-43	-2.13	44.7	104	-48	3	42	63.9
4	53	4.61e-05	4.34	4.52	-30	-51	54	-29.6	-53.3	53.1	109	-36	-54	54	69
3	49	9.41e-05	4.03	5.44	-9	9	48	-9.76	9.13	46.6	133	-9	9	48	78
2	49	9.41e-05	4.03	5.84	-12	-3	72	-13.7	0.405	67.8	102	-12	-3	75	63.7
1	25	0.0114	1.94	5.84	33	-63	-12	33.7	-62	-12.9	88	36	-60	-12	62.4
