onsets	durations	trial_type
4.010635	4.010900	AntSmLoss
11.042680	4.010700	AntNeu
20.669790	3.011000	AntLgLoss
27.897160	2.010400	AntLgLoss
36.324160	3.010200	AntLgGain
44.753770	2.010900	AntLgGain
50.782310	3.009900	AntLgGain
56.808070	4.010800	AntLgLoss
64.034570	4.010400	AntNeu
72.461210	4.010600	AntSmLoss
86.888850	3.010600	AntSmGain
95.315150	3.010400	AntSmLoss
104.941300	4.011400	AntSmLoss
118.169600	2.010100	AntLgGain
125.395700	3.010900	AntLgGain
142.223300	3.010200	AntSmGain
148.250000	2.010000	AntLgLoss
154.277100	4.010300	AntSmLoss
161.503100	4.010500	AntLgLoss
168.729000	2.010100	AntNeu
183.156200	3.010700	AntLgLoss
190.384400	2.010000	AntNeu
197.610500	2.010600	AntLgGain
212.037300	2.010400	AntSmGain
221.664000	3.010600	AntNeu
238.491500	4.010200	AntLgGain
245.717200	4.010600	AntSmLoss
252.944000	2.010100	AntSmLoss
258.969700	2.010200	AntNeu
267.396500	3.010600	AntSmGain
274.622700	2.010100	AntLgGain
280.649200	2.009900	AntLgGain
298.675700	4.010600	AntLgLoss
305.702300	4.010600	AntNeu
318.930600	2.010500	AntSmGain
324.957300	2.009900	AntSmGain
334.583100	2.010400	AntSmGain
341.810100	3.010100	AntLgLoss
351.436900	4.010300	AntLgLoss
358.462600	4.011400	AntLgGain
372.891500	3.010100	AntNeu
384.918100	3.010400	AntNeu
392.144200	3.010100	AntSmGain
400.569800	4.011900	AntLgLoss
408.997900	3.010100	AntSmLoss
416.224200	2.010200	AntSmGain
422.250900	3.010100	AntSmGain
433.076400	4.010400	AntSmLoss
440.101900	2.009800	AntNeu
450.928600	4.010600	AntSmLoss
9.021582	1.000000	ConHit
16.053380	1.000000	ConHit
24.680780	1.000000	ConHit
30.907560	1.000000	ConHit
40.334400	1.000000	ConHit
47.764690	1.000000	ConMiss
54.792230	1.000000	ConHit
61.818840	1.000000	ConHit
69.044960	1.000000	ConHit
77.471820	1.000000	ConHit
90.899490	1.000000	ConMiss
99.325590	1.000000	ConHit
109.952600	1.000000	ConHit
121.179700	1.000000	ConMiss
129.406600	1.000000	ConMiss
146.233500	1.000000	ConHit
151.260100	1.000000	ConHit
159.287400	1.000000	ConHit
166.513600	1.000000	ConHit
171.739000	1.000000	ConHit
187.166900	1.000000	ConHit
193.394300	1.000000	ConHit
200.621100	1.000000	ConHit
215.047700	1.000000	ConMiss
225.674600	1.000000	ConHit
243.501800	1.000000	ConHit
250.727800	1.000000	ConHit
255.954100	1.000000	ConHit
261.979900	1.000000	ConHit
271.407100	1.000000	ConHit
277.632800	1.000000	ConMiss
283.659100	1.000000	ConMiss
303.686300	1.000000	ConHit
310.712800	1.000000	ConHit
321.941200	1.000000	ConMiss
327.967200	1.000000	ConHit
337.593500	1.000000	ConHit
345.820200	1.000000	ConHit
356.447300	1.000000	ConMiss
363.474000	1.000000	ConHit
376.901600	1.000000	ConHit
388.928500	1.000000	ConMiss
396.154200	1.000000	ConMiss
405.581800	1.000000	ConHit
413.008000	1.000000	ConHit
419.234500	1.000000	ConHit
426.261000	1.000000	ConMiss
438.086800	1.000000	ConHit
443.111700	1.000000	ConHit
455.939200	1.000000	ConHit
