csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	a_comp_cor_146	a_comp_cor_147	a_comp_cor_148	a_comp_cor_149	a_comp_cor_150	a_comp_cor_151	a_comp_cor_152	a_comp_cor_153	a_comp_cor_154	a_comp_cor_155	a_comp_cor_156	a_comp_cor_157	a_comp_cor_158	a_comp_cor_159	a_comp_cor_160	a_comp_cor_161	a_comp_cor_162	a_comp_cor_163	a_comp_cor_164	a_comp_cor_165	a_comp_cor_166	a_comp_cor_167	a_comp_cor_168	a_comp_cor_169	a_comp_cor_170	a_comp_cor_171	a_comp_cor_172	a_comp_cor_173	a_comp_cor_174	a_comp_cor_175	a_comp_cor_176	a_comp_cor_177	a_comp_cor_178	a_comp_cor_179	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35	motion_outlier36	motion_outlier37	motion_outlier38	motion_outlier39	aroma_motion_01	aroma_motion_02	aroma_motion_03	aroma_motion_04	aroma_motion_06	aroma_motion_08	aroma_motion_10	aroma_motion_11	aroma_motion_13	aroma_motion_14	aroma_motion_16	aroma_motion_17	aroma_motion_18	aroma_motion_28	aroma_motion_29	aroma_motion_30	aroma_motion_31	aroma_motion_32	aroma_motion_33	aroma_motion_35	aroma_motion_38	aroma_motion_40	aroma_motion_45	aroma_motion_46	aroma_motion_47	aroma_motion_48
12040.98172054963	n/a	144985240.79461032	n/a	9365.83300822099	n/a	87718827.93788184	n/a	8602.973277688476	n/a	74011149.216622	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.522935	n/a	n/a	0.273461014225	0.0487897	n/a	n/a	0.00238043482609	-0.138427	n/a	0.019162034329	n/a	0.000230619	n/a	n/a	5.3185123161000005e-08	-0.008540749999999998	n/a	7.294441056249997e-05	n/a	0.0249943	n/a	0.0006247150324899997	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11921.117955318958	-119.86376523067156	142113053.30462804	14367.322215273547	9338.133166115842	-27.699842105148488	87200731.02811268	767.2812526501573	8537.856578424899	-65.11669926357717	72894994.95375332	4240.1845229831515	1.925382	45.364613	0.4144051500000001	-0.02919198	0.0345649621	-0.1616653951	0.0119052047	-0.0332196534	0.0229690118	-0.10606312890000001	0.0815666875	-0.0318429449	0.231605073	0.021886346	-0.0066240772	0.32608721539999996	-0.0603442466	0.0639927064	-0.23986371480000002	0.1031852922	-6.33e-07	0.12137649519999999	-0.081523388	0.0284961553	-0.0620276458	0.019403700700000002	-0.0846836877	0.0618814732	-0.1229478807	0.030559114300000002	0.12297626769999999	-0.0356656693	0.008808957	-0.051805233	0.0301980029	-0.0593758766	0.0297358952	-0.0185311421	0.0353068067	-0.1005545476	0.046070828200000004	-0.0878265455	0.0701758148	-0.20066847100000001	0.0313804522	-0.0908104184	0.0984560859	-0.030416526800000006	0.0535526976	-0.051777508	0.012417847099999999	-0.0381837915	0.0048387518	0.0945173984	-0.07663102599999999	-0.0695746144	0.04792471190000002	-0.0069052398999999995	-0.1652178657	0.0444338915	-0.0594829162	-0.0552054002	0.0702385136	0.0118443749	0.0489847593	-0.0606773944	0.027002826	0.0196041203	-0.09482392529999999	-0.0049052219	0.0520196199	0.0095944898	0.08330146	-0.016796903300000002	-0.0461727715	0.0399385132	-0.059681114199999996	-0.0114245549	-0.0153686354	-0.07083685070000001	0.0373695183	0.0325028944	-0.0088951401	-0.052065796399999996	-0.0053160693	-0.0488831014	0.0712459266	-0.017289286299999998	-0.0826855615	0.042023975899999996	0.021833281099999997	-0.029563465	0.0081611166	-0.1365901773	0.1499521751	-0.129965345	-0.1719942082	0.0175120404	-0.0574351372	0.0589574787	-0.0287203748	0.0794694898	0.021434760299999998	-0.10889116130000001	0.071879253	-0.0327399164	0.2291518608	-0.0047650213	0.0550996675	-0.2757129927	0.2873152665	-0.0648079966	0.1013352429	0.0659243001	-0.0930607972	0.0309364881	-0.0935512968	0.0647587278	-0.0079715003	0.1630422251	-0.0078647114	0.049756357599999995	-0.0361451513	0.1131284237	-0.021829812200000003	-0.0977670556	0.0382819745	-0.1645786427	-0.0587016305	0.0833384391	-0.0045314631	0.0577332209	-0.009711861700000001	0.0021458682999999997	-0.1318902748	0.0353809727	-0.0938243666	0.034705806	-0.0096659288	0.0463611196	-0.0412115101	0.0683698773	-0.0175577489	0.1073443072	-0.0625932101	0.19752411670000009	-0.0686327125	0.0764932358	-0.1494027901	-0.015567019199999999	0.0447206038	-0.0415017964	-0.008301481099999999	0.0326921871	-0.1509043514	-0.0340560185	0.0001542485	0.016091481100000003	-0.0022161673	-0.0301104936	0.047235730700000006	0.0603736467	0.0759445882	-0.0709643209	0.0596426133	0.0037756213	0.1921228297	-0.0052646533	-0.034875803500000004	0.0028553937	0.0139914761	0.09929104289999999	-0.0449460588	-0.08101091690000001	0.013105289499999999	0.0087857371	0.0745113602	0.0303705023	-0.0503375801	0.0635580251	0.051381969400000005	0.0507570517	-0.0335702663	-0.0265049171	-0.059075693	0.0468721807	0.0425535335	0.0047074763	0.0870372873	0.08703266529999999	0.0870249621	0.0870141781	0.08700031359999999	0.0869833691	0.0	0.445246	-0.07768900000000001	0.006035580721000002	0.198244000516	0.0267371	-0.0220526	0.00048631716676	0.0007148725164099999	-0.206871	-0.068444	0.042795610641	0.0046845811360000005	0.00180697	0.0015763510000000001	2.484882475201e-06	3.2651405809e-06	-0.00593411	0.0026066399999999977	3.5213661492100004e-05	6.794572089599988e-06	0.0242529	-0.0007413999999999963	0.00058820315841	5.496739599999944e-07	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.334106026	0.540534365	-2.284436218	-0.3378286537	3.181292076	-0.6804636778	-0.08757428869	2.966872814	-2.690824745	0.3418730559	3.98133073	4.462274591	2.097085722	2.137061048	2.733482405	1.503665139	0.261250699	3.148648718	-6.618242912	0.03722461222	2.789429023	-0.4081304611	0.7552985211	3.123335922	-0.1744502584	0.6043265184
11848.483773580412	-72.63418173854551	140386567.73279834	5275.72435682806	9350.428192836507	12.295026720665193	87430507.3893918	151.16768206187106	8525.372205357648	-12.484373067251001	72681971.23988472	155.85957088230208	1.710136	40.293129	0.7899464	0.0482801574	-0.007476755	-0.101614545	0.0705738918	0.0141469234	0.061097195199999996	-0.12236069210000006	0.0522752249	0.0719643911	0.17502990870000001	0.1419531043	-0.0606915107	0.295123715	-0.0504642728	0.006292369	-0.0783163725	0.07981331700000001	0.0542054266	-0.0363311752	-0.11735332230000001	0.0216948586	0.0939546411	0.0404324736	0.0346311664	-0.022259777799999998	-0.0635118129	-0.0896315634	-0.009608728	-0.0606574388	0.0276743648	0.0238471575	-0.1037062408	0.046748434299999996	-0.0615183977	-0.01907008	0.0569324888	0.0938227352	-0.1775616939	0.1191028248	-0.0630277198	0.1102344666	0.042525151500000004	0.0580520774	0.0845892643	0.0261161695	-0.006632543100000001	0.007185621600000002	-0.0345969494	-0.0293999708	0.049905896500000005	0.10720048859999999	0.0150464066	-0.0675473878	-0.0669292833	-0.0042966983	-0.030018495	0.0322916896	0.042760707099999996	-0.06681062900000001	0.0433173508	-0.0225116056	0.0438536536	-0.0019350998	0.1219390889	-0.0531823368	-0.022048424	0.0378813151	-0.0130534043	-0.0272512111	-0.026252538	0.0295346819	-0.0133269968	-0.028108294300000003	0.0467685583	-0.055691816100000006	0.0385301952	0.0633981992	0.0778237056	-0.0796754584	-0.06648573349999999	0.0617390411	-0.0710074478	0.0414193659	0.0215609374	-0.0758829453	0.0786197557	-0.049108846	-0.0140659199	-0.0666840509	0.0375643367	-0.1615557122	0.0577935302	0.026412466000000002	-0.0958832303	0.0502150984	0.005464695	-0.0322441364	-0.1332024291	-0.1561579816	-0.0406761436	-0.09196252220000001	0.0418580078	-0.0950388867	0.15508109720000002	0.1464103128	0.0198528517	-0.2582191606	0.19712900940000005	-0.0117489144	0.0148761846	0.0620508864	-0.1288665656	0.0692971723	0.048493759000000004	-0.0419426986	-0.1041474043	-0.0018770398	-0.049644292400000005	-0.0703396956	0.0671827847	-0.031854643599999996	-0.034644407	0.0031251026	-0.007205029	0.05910731480000001	0.0002947992	0.1519442973	0.013627710500000001	0.10045196210000001	0.0750274022	-0.0003892371	0.1072954423	-0.021180757999999997	0.0317350818	-0.0793745189	0.0267060039	-9.33991e-05	-0.0441405557	-0.0609858717	-0.0164231183	0.0546248367	0.0797706467	0.0322580639	0.0635528201	-0.06579328450000001	0.0085440948	0.0703167699	-0.0059990315	0.0799078214	-0.0235600594	0.0120950344	0.0573746468	0.0317761376	0.05760762780000001	0.025488019	-0.0106896194	0.0652839533	0.006386104300000001	0.0228285194	-0.01536865	0.041675442400000005	0.0091289336	-0.0522074842	-0.07484250519999999	-0.0078196723	0.0607715425	-0.088604133	0.0030630456	-0.083904878	-0.0134108641	0.0399948379	-0.0112306691	0.05567771	0.043156638600000005	-0.053725927400000005	0.0364829728	-0.0942762727	0.0202201264	-0.0358930342	0.08727048960000001	0.0638920185	0.0382948227	0.0190254612	-0.0662625888	-0.0820496172	0.0870249621	0.0869833691	0.08691406199999999	0.08681706300000001	0.086692403	0.0865401218	0.0	0.317758	-0.12748800000000005	0.01625319014400001	0.10097014656400001	0.112499	0.08576189999999999	0.00735510349161	0.012656025001	-0.178877	0.02799399999999999	0.031996981129000006	0.0007836640359999995	0.0035803	0.0017733300000000005	3.144699288900001e-06	1.2818548090000002e-05	-0.00322079	0.0027133200000000004	1.03734882241e-05	7.3621054224000034e-06	0.0177655	-0.006487400000000001	0.00031561299025	4.208635876000001e-05	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.32804626	-0.8463356654	-0.9442552528	1.936311562	1.822538951	-2.711002653	-0.9123994063	2.12616589	-0.2091299778	0.9314088439	2.980057412	3.128639935	0.9997545313	2.499726342	3.253884385	0.4052039226	0.79304575	2.051937805	-3.607189616	0.2552317135	1.025194192	0.3192901323	-1.341022245	1.516178753	2.888683762	0.3436860001
11801.041107591253	-47.44266598915965	139264571.22305858	2250.8065561589656	9335.226703837408	-15.201488999098729	87146457.61203904	231.0852677897197	8502.431115048443	-22.941090309204807	72291334.86614391	526.2936245750908	1.503555	35.425789	0.2084971	0.054955010199999994	-0.0454903767	-0.037282081200000004	0.1443623698	0.037471017999999995	0.0949497474	-0.0160537816	-0.021396639300000003	-0.0487598032	0.1715356566	0.043228547400000004	-0.10662519599999999	0.2050738704	0.0011952573	-0.1061885517	-0.1355469497	0.050575067800000005	0.008348774599999999	0.0021524066	-0.0259018527	0.025543277799999996	0.0195313402	-0.024623030499999997	-0.0259150852	0.0472354271	0.1260736241	0.0622087776	-0.0703522276	-0.0317705489	0.0651490614	-0.0714791781	-0.0960559719	0.06678358820000001	-0.0981343841	-0.0793809377	-0.0704565437	0.0730434978	-0.0123934074	0.0670845006	-0.0737745674	0.1104196508	0.0400159047	0.04490459559999999	-0.0102747416	-0.006319380899999999	0.117117709	0.0111370764	0.0247935488	0.11333390410000001	0.034444502200000005	-0.0783862624	0.112669064	0.0785846671	0.113297781	-0.1080170417	-0.0817485514	0.013426941999999999	-0.020967592	-0.015797931799999998	-0.09978908689999999	-0.10186858439999999	0.0109540149	-0.0351940518	-0.1713935094	-0.0757589329	0.07249558440000001	-0.1111011862	-0.0080977384	0.008232283	0.0164186275	-0.032740667200000004	-0.0053441522	-0.0617246458	0.0568466213	0.09280041929999999	0.0401408687	0.0767494138	-0.0181333287	0.0161224916	-0.0282609725	0.0342803895	0.0024650556	0.10064130269999999	-0.0494353607	0.009285009200000001	-0.0270801604	-0.0666379317	-0.0246382958	-0.0317134489	0.0444045048	-0.1148215653	-0.0080891463	0.09511291960000001	-0.10500992070000001	0.12026242570000001	-0.0016666270000000002	0.0991722959	-0.045413126500000005	-0.0173482024	-0.0814978178	-0.0137541008	-0.007466483100000002	-0.0252284267	0.18070039289999998	0.0066581737	-0.0999961928	-0.2081450116	0.1339058815	-0.0136842857	0.10606658349999999	0.11038592960000004	-0.0201778473	0.0081181427	0.036954033	0.010896092900000001	-0.060193622999999995	-0.026347831600000003	0.1085182331	-0.0516282392	0.051492342999999996	0.017268288	0.0028893479	-0.0218236342	0.1008452771	0.13310922279999998	-0.0319980225	-0.0933067775	0.005870433	0.051754043099999994	0.062377780599999995	-0.0010498604	0.0317574063	-0.0771129229	0.0946942724	0.081734298	-0.08713058060000001	-0.0257073611	0.16823977980000002	-0.0941848479	0.0082671529	-0.0382527364	-0.026353378700000003	-0.0352999119	0.0173265132	0.031255709	0.1274712943	0.0193678735	-0.1143449137	0.0413742796	0.0427396098	-0.0714478744	0.0818433546	0.0925265186	-0.11538680949999999	0.0742506113	0.0411033535	-0.0250972106	0.0320186296	-0.0262944677	0.008717637700000001	0.10562938849999999	-0.009491210600000001	-0.026345623399999997	0.0145504781	-0.0579132082	-0.0535069675	0.05937494820000001	0.0394096522	-0.0194180647	0.0083200207	-0.0492090979	-0.0792290468	-0.0395195958	-0.0651078166	-0.08470554539999997	-0.0183976317	-0.0548409116	0.046679514500000005	0.0397244751	-0.0053056761	-0.01132883	-0.0056900469	-0.0029505484000000005	0.0541108036	-0.009984176400000001	0.08700031359999999	0.0868848045	0.086692403	0.0864232793	0.0860776717	0.0856558858	0.0	0.307931	-0.009826999999999976	9.65699289999995e-05	0.09482150076099999	0.0601039	-0.0523951	0.0027452465040100006	0.00361247879521	-0.170268	0.008609000000000006	0.028991191824	7.41148810000001e-05	0.00271267	-0.0008676300000000003	7.527818169000007e-07	7.3585785289e-06	-0.0026979	0.0005228899999999998	7.27866441e-06	2.734139520999998e-07	0.016402700000000003	-0.0013627999999999973	0.0002690485672900001	1.8572238399999927e-06	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.700205401	-1.534236949	-0.2945174374	1.076497595	1.266236968	-1.216994594	-1.329434062	1.810598226	-1.557502371	1.394980849	3.377484501	2.584523752	0.3278331671	0.1916112963	3.887024029	2.911512795	-1.53788005	1.638953094	-2.383617797	-0.9993178405	2.216637501	-0.06013334259	1.020960869	0.589972342	1.248823125	0.08433845384
11778.566737725483	-22.474369865769404	138734634.39505312	505.0973008634039	9326.893055240867	-8.333648596541027	86990934.06390032	69.44969893063019	8470.968223254156	-31.46289179428641	71757302.63938168	989.9135600589748	1.2568530000000002	29.613174	0.1357926	0.0127961562	-0.0670713434	-0.000603135	0.074676308	-0.025803735	0.0201572863	0.0161635106	-0.0533469734	0.0337024774	0.1120505028	0.1157088415	-0.0313383113	0.21867055850000008	-0.11076125199999999	0.0021705595	-0.060855652999999996	-0.1135989582	0.08230132009999999	-0.0924929602	0.051264328399999996	0.0068220163	-0.0536919225	-0.0592734653	0.0446745956	-0.0458970957	0.11088268800000001	0.0766473374	0.0004887458	0.0125742504	-0.10581553070000001	0.0257517854	0.1172803089	-0.025763844100000002	-0.015381209199999999	0.0025239923	0.0548366639	0.0264792817	-0.0092059547	0.031344622	-0.0414872726	0.0094688686	0.0925961566	0.016460409	-0.12703519929999998	0.0184890528	-0.02020912	-0.0131158434	0.0026501060999999998	0.019447541699999998	0.0205704633	0.0139944097	0.0630814557	-0.07810228179999999	-0.08560672539999999	0.057299169500000004	0.0356594287	-0.0033096526	-0.0731011851	0.08516022960000001	-0.1143412576	0.009239176600000001	-0.0084369315	0.0641830807	-0.0835618879	0.0602776365	-0.0798058664	-0.0140823496	0.021739017599999997	0.0779747309	-0.056706045	0.07285668070000001	-0.035895325299999996	-0.026214638199999998	0.0922415834	-0.0519512896	0.0281263029	-0.1004084717	-0.0138007844	0.0581901288	0.1185037272	-0.0428549051	0.027917177	-0.0103788824	-0.0193722673	-0.0875437022	-0.022971180499999997	0.0451185022	-0.0121915345	-0.0052046867	0.04986384940000002	-0.08154845299999999	-0.0594055185	0.08820975210000001	0.0057289029	0.075896362	-0.0166120692	0.0106974994	-0.07420812019999999	-0.025287401400000003	-0.0207669486	0.0374912139	-0.0555615258	-0.058285093600000004	0.106934893	0.1175581169	-0.00199124	-0.2085279717	0.0882858048	0.014552173600000001	0.0729953642	-0.05677402190000001	-0.0870559414	0.060428237	-0.0048255285	-0.0179326271	0.0907345484	-0.00570291	0.0445656804	-0.0256213355	-0.1420283793	-0.0316820749	0.1105507465	0.07003972730000001	-0.044412103499999994	0.047912085	0.0635388992	-0.145279119	0.0044114284	-0.0304997563	0.0202011039	-0.0697249183	0.0295740827	0.024416552299999998	-0.0002267634	-0.0176130469	0.0540621347	0.049327231500000006	0.0934790977	0.0763947921	0.0238846003	-0.0648950845	0.054064244500000004	0.0450045809	0.0659308346	-0.0075853588	-0.0370383298	-0.0089621571	0.0142240683	0.0747759295	0.0084696213	0.0112790646	-0.05227682	0.0250240898	0.012227045700000001	-0.021055420699999997	0.0471943108	-0.0065052002	-0.1385144698	-0.046745065499999995	-0.096747062	0.0485027098	-0.06694895740000001	-0.0206060188	0.0125718362	-0.0455707999	0.001812155	-0.046027788099999994	0.09808791289999999	0.0473029566	0.0092247123	0.0370793633	0.10572843539999999	-0.0755647181	-0.020917234	0.1137478806	-0.0177445235	0.0500002508	-0.0628826182	-0.0772054924	-0.09747337619999999	-0.049590226200000004	0.0237133519	-0.0975909967	-0.0616740243	-0.13924462740000002	0.08696334509999999	0.0867370275	0.08636026769999999	0.0858337192	0.0851582951	0.08433516710000001	0.0	0.272489	-0.03544200000000003	0.001256135364000002	0.07425025512099999	0.09963	0.0395261	0.0015623125812099993	0.009926136899999998	-0.162434	0.007834000000000008	0.026384804356	6.137155600000013e-05	0.0029506	0.0002379299999999999	5.6610684899999964e-08	8.70604036e-06	-0.00258542	0.00011247999999999987	6.684396576400001e-06	1.2651750399999971e-08	0.0156933	-0.0007094000000000024	0.00024627966489	5.032483600000035e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0427398	-1.403361382	-1.25344465	1.513528668	1.583424592	-2.275028557	-2.238283259	1.914141227	-0.2735175264	0.7341969763	1.887875165	1.509671223	-0.2135805343	0.2593299338	2.302047868	1.200386465	-1.388706775	0.04376610674	-3.440404381	0.4604480573	0.2238842645	-0.8273976419	-0.7723042835	0.6946710267	1.020495451	0.7634485179
