Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
10	1071	9.68e-22	21	7.4	49	31	27	47.3	27	33.4	534	50	30	28	157
9	1058	1.5e-21	20.8	6.07	21	15	20	23.9	17.2	20.2	449	27	13	21	107
8	846	2.46e-18	17.6	7.09	47	46	44	46.7	49.3	37	517	44	44	47	164
7	612	1.88e-14	13.7	5.71	22	20	36	17.1	25.5	35.3	369	19	24	45	106
6	481	4.61e-12	11.3	5.35	38	58	43	34.1	55.9	42.6	373	34	51	48	142
5	198	6.2e-06	5.21	5.02	47	28	20	46.6	23.6	17.2	232	47	28	20	104
4	154	9.23e-05	4.03	5.04	13	37	25	11.7	36.8	24.4	209	12	37	25	108
3	134	0.000342	3.47	6.05	20	43	48	19.7	45.3	46.4	282	21	44	48	116
2	96	0.00501	2.3	4.2	14	49	37	16.2	48.1	36.4	271	14	49	37	141
1	72	0.0325	1.49	4.11	39	62	32	41.4	62.4	31.1	287	43	67	29	190
