Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
15	1719	0	47.3	6.39	27	57	-9	26.2	30.9	16.6	401	54	30	-6	120
14	375	7.47e-17	16.1	6.19	-39	45	-6	-35.3	42.9	2.23	170	-39	45	-6	98.7
13	149	1.06e-08	7.97	4.33	-21	0	6	-23.4	2.1	1.07	161	-18	3	-6	99.1
12	60	0.000244	3.61	4.21	33	-51	54	37.9	-53.9	53.4	599	39	-60	57	239
11	57	0.000366	3.44	3.75	-39	-30	45	-42.5	-32.8	44.6	188	-42	-39	57	99
10	54	0.000552	3.26	4.32	-24	-51	45	-36.1	-49.7	49.7	211	-33	-54	51	113
9	47	0.00149	2.83	6.01	33	-48	-18	32.2	-45.9	-20.7	300	30	-48	-21	151
8	45	0.00199	2.7	4.92	30	-45	39	33.2	-46.2	38.2	222	30	-51	42	100
7	44	0.00231	2.64	5.09	-33	3	45	-34.1	1.71	44.7	136	-42	6	45	76.3
6	35	0.00921	2.04	5.39	-15	-90	-54	-17.6	-89	-51.6	117	-12	-87	-54	81.6
5	32	0.0149	1.83	4.09	-30	21	0	-30.5	20.4	-6.37	152	-33	21	0	108
4	32	0.0149	1.83	4.63	-12	33	15	-10.6	29.1	16.4	126	-9	30	18	75.1
3	27	0.0346	1.46	4.04	-42	27	33	-42.3	25.1	32.8	109	-45	15	36	80.1
2	26	0.0411	1.39	4.35	48	-42	24	52.3	-43.2	25	215	51	-45	27	147
1	25	0.0489	1.31	4.79	66	-3	-24	66.2	-6.75	-22.1	195	63	-12	-24	103
