Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
16	3326	0	74.4	7.63	40	63	23	40.9	53.6	31.9	843	50	54	24	215
15	742	4.48e-27	26.3	7.35	17	58	27	21.5	55.8	26.4	404	24	56	19	171
14	417	3.73e-18	17.4	5.38	43	27	44	46.3	27.6	41.7	1.25e+03	45	24	45	283
13	183	4.16e-10	9.38	6.69	54	43	18	53.4	38.9	19.1	523	54	40	18	192
12	122	1.79e-07	6.75	5.15	23	28	41	18.6	27.2	42.3	400	21	26	43	202
11	93	4.11e-06	5.39	5.17	32	45	17	32.9	48.7	16.6	473	35	50	17	281
10	88	7.33e-06	5.13	4.26	18	32	42	16.9	33.9	41.4	326	17	30	46	168
9	69	7.53e-05	4.12	5.9	19	47	40	20.5	44.6	42.1	215	18	46	40	128
8	58	0.000319	3.5	5.52	18	53	37	18.3	52.2	37	224	18	52	37	144
7	57	0.000366	3.44	6.75	43	28	20	42.8	28.6	19.4	534	42	28	19	239
6	54	0.000552	3.26	4.62	33	41	38	32	39.7	37.8	253	32	37	37	154
5	36	0.00786	2.1	4.06	19	22	17	19.2	22.5	15.7	379	19	22	18	210
4	36	0.00786	2.1	4.01	48	30	34	50	29.2	34.3	350	49	29	35	248
3	36	0.00786	2.1	4.68	46	19	24	45.6	19.7	23.8	212	45	18	22	137
2	32	0.0149	1.83	4.9	27	14	8	25.3	14.3	8.65	155	28	15	8	120
1	32	0.0149	1.83	4.68	57	34	26	55	32.7	25.4	489	55	33	26	200
