Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
22	1719	0	47.3	6.6	0	-102	12	8.77	-86.3	15.1	609	-3	-66	66	148
21	801	1.54e-28	27.8	6.18	12	72	-12	-8.93	61.6	8.87	674	0	57	-3	233
20	228	7.63e-12	11.1	4.74	-33	-30	63	-10.1	-27	69.3	363	-3	-27	78	123
19	204	6.21e-11	10.2	4.67	33	-12	75	45.8	-12.5	57.4	341	63	3	27	115
18	193	1.67e-10	9.78	5.18	63	-3	-36	52	11.8	-24.3	429	36	24	-27	160
17	157	4.86e-09	8.31	4.99	39	-48	-42	42	-59.4	-44	218	36	-51	-54	118
16	111	5.36e-07	6.27	4.33	24	-48	78	22	-51.9	73.2	483	24	-45	75	134
15	98	2.32e-06	5.63	4.53	-9	-75	-54	-17.4	-70.2	-52	219	-12	-81	-48	137
14	59	0.000279	3.55	4.37	-48	3	-33	-43.2	-0.991	-39.5	172	-45	0	-36	109
13	59	0.000279	3.55	5.16	-18	-42	12	-19.1	-46.6	10.4	209	-18	-54	3	102
12	57	0.000366	3.44	5.76	21	-12	-9	20.1	-6.35	-9.89	367	15	-3	-15	148
11	56	0.000419	3.38	5.33	-66	-24	-33	-62.3	-17.3	-32.8	123	-57	-12	-36	64
10	56	0.000419	3.38	4.14	-6	12	60	-8.08	17.3	62.1	299	-18	27	63	131
9	48	0.00129	2.89	4.42	-24	-51	57	-25	-59.7	63.2	173	-24	-66	66	95.7
8	41	0.00362	2.44	4.14	-51	-18	45	-43.5	-19.2	48.1	156	-48	-12	57	105
7	41	0.00362	2.44	4.21	12	-48	60	6.47	-46.5	59.9	285	0	-51	66	131
6	37	0.00671	2.17	5.41	-75	-18	0	-72.5	-12.3	-6.3	84.6	-75	-9	-12	60.9
5	33	0.0127	1.9	5.16	-15	33	-33	-16.1	36.3	-29	216	-21	33	-24	142
4	30	0.0208	1.68	4.6	-30	36	51	-30	35.2	51	247	-27	39	51	152
3	29	0.0246	1.61	4.45	-48	-42	21	-48.6	-41.8	20.7	135	-51	-45	27	93.2
2	28	0.0291	1.54	4.68	42	-15	24	38.6	-14.5	22.5	106	42	-15	21	68.5
1	25	0.0489	1.31	4.16	48	48	24	45.2	50.2	26.1	130	48	48	21	76.7
