Cluster Index	Z	x	y	z	
10	6.08	36	39	3
10	5.86	27	57	-9
10	5.22	42	42	-9
10	4.98	12	36	33
10	4.78	30	24	24
10	4.69	39	54	0
9	5.74	-39	45	-6
9	5.56	-48	39	6
9	4.96	-36	33	12
9	4.78	-42	48	3
9	4.44	-18	39	-18
9	3.77	-21	45	-9
8	5.02	30	-45	39
8	4.99	36	-42	42
8	4.28	33	-51	54
7	5.49	-27	-48	45
7	4.81	-45	-42	36
7	4.43	-36	-51	36
7	4.3	-33	-51	54
7	3.99	-45	-51	48
6	5.38	-33	3	45
6	4.65	-39	9	42
6	4.1	-24	-6	45
5	4.63	30	-90	3
4	4.19	-33	6	27
4	4.14	-39	6	33
3	5.03	-15	-87	-54
3	4.77	-24	-90	-51
3	4.16	-30	-87	-54
2	4.45	33	-45	-21
2	3.52	36	-57	-18
1	4.75	60	45	0
1	4.64	54	45	-3
