Cluster Index	Z	x	y	z	
22	6.6	0	-102	12
22	6.21	24	-99	12
22	6.21	0	-96	9
22	6.05	24	-99	24
22	5.87	-3	-102	0
22	5.86	57	-69	3
21	6.18	12	72	-12
21	5.82	-6	66	-21
21	5.7	3	72	-3
21	5.64	3	63	-6
21	5.5	-9	57	9
21	5.33	-9	60	33
20	4.74	-33	-30	63
20	4.7	-15	-36	69
20	4.54	0	-27	57
20	4.39	-6	-33	60
20	4.21	6	-12	78
20	4.11	-21	-27	78
19	4.67	33	-12	75
19	4.45	27	-9	78
19	4.41	27	-21	78
19	4.38	57	-6	54
19	4.34	42	-9	69
19	4.26	63	-9	48
18	5.18	63	-3	-36
18	5.18	63	3	-36
18	5.11	66	3	6
18	4.82	60	9	-30
18	4.81	63	-3	-3
18	4.58	60	15	-21
17	4.99	39	-48	-42
17	4.75	51	-69	-39
17	4.53	36	-54	-51
17	4.42	33	-45	-48
17	4.38	45	-66	-51
17	4.31	42	-57	-42
16	4.33	24	-48	78
16	4.32	30	-63	69
16	4.16	21	-57	69
16	4.04	27	-48	72
16	3.78	12	-48	78
16	3.59	36	-30	75
15	4.53	-9	-75	-54
15	4.33	-24	-48	-54
15	4.3	-18	-81	-51
15	4.04	-24	-60	-60
15	3.74	-6	-90	-42
15	3.66	-30	-60	-60
14	4.37	-48	3	-33
14	4.13	-45	6	-39
14	4.11	-42	0	-42
14	4.05	-36	-6	-45
13	5.16	-18	-42	12
13	5	-21	-48	15
13	4.66	-24	-51	9
13	4.26	-15	-51	0
13	3.47	-24	-42	3
12	5.76	21	-12	-9
12	4.17	18	0	-12
12	3.63	24	-3	-9
12	3.42	15	9	-9
11	5.33	-66	-24	-33
11	4.6	-57	-15	-36
11	4.39	-66	-15	-36
11	4.22	-66	0	-36
11	4.02	-60	-18	-27
11	3.22	-63	-27	-21
10	4.14	-6	12	60
10	3.98	-15	24	63
10	3.94	3	15	69
9	4.42	-24	-51	57
9	3.97	-27	-60	66
8	4.14	-51	-18	45
8	3.88	-39	-21	45
8	3.86	-36	-21	51
8	3.76	-45	-18	51
8	3.49	-33	-24	45
8	3.25	-42	-21	36
7	4.21	12	-48	60
7	3.83	3	-51	66
7	3.71	-9	-48	63
7	3.47	18	-39	48
7	3.26	-6	-51	72
6	5.41	-75	-18	0
6	4.72	-72	-12	0
6	4.52	-72	-15	-6
6	4.21	-72	-9	-12
6	4.16	-72	-12	-18
6	3.55	-69	0	-9
5	5.16	-15	33	-33
5	4.21	-12	42	-30
5	4.14	-21	33	-27
5	4.09	-21	39	-30
5	3.96	-21	39	-24
4	4.6	-30	36	51
4	4.49	-33	27	51
4	3.84	-21	48	51
3	4.45	-48	-42	21
2	4.68	42	-15	24
2	4.29	36	-9	21
1	4.16	48	48	24
1	4.01	48	45	30
