Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
17	2894	0	67.7	7.71	27	57	-9	8.91	37	11.1	311	54	30	-6	81.3
16	147	1.3e-08	7.89	4.48	18	24	0	15.8	8.3	2.49	119	9	6	-3	72.4
15	106	9.54e-07	6.02	5.92	0	3	-27	2.52	8.85	-28.1	232	0	3	-27	132
14	83	1.34e-05	4.87	4.27	-18	-6	6	-20.5	-5.58	3.12	152	-15	3	-6	61.6
13	73	4.54e-05	4.34	6.32	-33	3	45	-33	1.57	46.8	87.2	-39	6	42	53.5
12	72	5.15e-05	4.29	6.38	-69	12	24	-66.2	16	16	120	-69	12	24	52.4
11	63	0.000164	3.79	5.29	-24	-51	45	-35.6	-50.3	49.1	130	-30	-51	51	81.2
10	57	0.000366	3.44	4.58	36	6	-48	43.3	17	-44.8	178	36	18	-48	91.5
9	40	0.00422	2.37	6.18	-15	-90	-54	-21.3	-89.2	-51.3	95.4	-12	-87	-54	60.8
8	36	0.00786	2.1	3.86	-48	-27	45	-44.3	-29.6	46	95.1	-54	-27	45	64.7
7	35	0.00921	2.04	4.69	-33	-30	-33	-37.5	-34.2	-36.8	232	-39	-39	-39	114
6	34	0.0108	1.97	6.53	-75	-30	3	-73.8	-34.2	-1.81	64.8	-72	-33	3	37.2
5	31	0.0176	1.75	4.25	36	9	-9	40.3	8.3	-11.5	196	42	9	-12	80.5
4	31	0.0176	1.75	5.75	75	-30	0	74.7	-33.7	-6.19	74.2	72	-30	0	35
3	30	0.0208	1.68	4.92	30	-45	39	32.6	-44.9	38	121	30	-48	42	67.8
2	28	0.0291	1.54	4.96	33	-3	-15	33.4	-2.74	-16.4	92.5	30	-3	-15	68.4
1	26	0.0411	1.39	4.97	-27	-36	3	-25.8	-34.8	5.12	76.8	-27	-36	3	56.3
