Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
8	763	1.34e-27	26.9	5.93	20	59	24	28.5	57	27.8	143	24	61	24	58.7
7	71	5.84e-05	4.23	4.94	18	47	33	18.9	47.5	35.4	139	18	47	36	66.2
6	56	0.000419	3.38	5.06	11	54	27	10.6	50.4	27.4	94.1	14	52	17	49.9
5	34	0.0108	1.97	5.54	27	15	8	25.8	14.2	8.81	88.9	27	15	8	57.4
4	29	0.0246	1.61	5.23	27	41	27	27.7	41.1	26.4	80.8	27	41	27	57.3
3	27	0.0346	1.46	4.05	24	44	24	22.9	45.4	25	79.1	24	44	24	66.8
2	27	0.0346	1.46	5.05	21	45	41	20.4	45.1	41	79.7	20	45	41	49.2
1	26	0.0411	1.39	4.64	52	57	26	52	57.2	25.9	81	53	56	27	52.8
