Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
13	1545	9.81e-45	44	6.17	0	-102	12	15.2	-87.8	15.7	509	-3	-84	48	143
12	712	2.57e-26	25.6	7.48	3	66	-24	-4.06	64.3	-0.789	641	-6	57	0	252
11	140	2.61e-08	7.58	4.74	0	-3	-15	-14.6	-3.12	-18.7	544	-15	-9	-18	263
10	113	4.17e-07	6.38	5.05	-60	-15	-39	-45.4	-1.49	-39	265	-36	12	-30	129
9	74	4.01e-05	4.4	4.99	3	-63	-60	5.33	-56	-60.6	341	0	-57	-63	167
8	73	4.54e-05	4.34	4.59	-3	-63	6	-7.23	-70	-4.76	326	-15	-69	-12	194
7	62	0.000187	3.73	5.5	-18	-42	12	-21.2	-48.9	11.3	234	-15	-54	0	104
6	59	0.000279	3.55	7.6	-15	33	-33	-17.2	35.8	-28.4	287	-15	30	-30	180
5	45	0.00199	2.7	4.17	48	-72	-33	45.5	-75.3	-32.3	168	45	-78	-30	105
4	44	0.00231	2.64	4.3	21	12	-24	28.4	16	-26	389	36	24	-27	200
3	41	0.00362	2.44	4.35	0	9	-9	0.452	15.5	-4.75	341	0	9	-12	168
2	38	0.00574	2.24	4.27	-27	-81	-51	-16.2	-81.4	-47.7	220	-9	-87	-42	151
1	25	0.0489	1.31	4.8	63	27	21	63	25	22.6	110	63	27	21	76.8
