Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
17	2894	0	67.7	7.71	41	63	23	35	56.3	29.7	311	50	54	24	81.3
16	147	1.3e-08	7.89	4.48	38	52	26	37.3	46.8	26.8	119	35	46	25	72.4
15	106	9.54e-07	6.02	5.92	32	45	17	32.8	47	16.6	232	32	45	17	132
14	83	1.34e-05	4.87	4.27	26	42	28	25.2	42.1	27	152	27	45	24	61.6
13	73	4.54e-05	4.34	6.32	21	45	41	21	44.5	41.6	87.2	19	46	40	53.5
12	72	5.15e-05	4.29	6.38	9	48	34	9.92	49.3	31.3	120	9	48	34	52.4
11	63	0.000164	3.79	5.29	24	27	41	20.1	27.2	42.4	130	22	27	43	81.2
10	57	0.000366	3.44	4.58	44	46	10	46.4	49.7	11.1	178	44	50	10	91.5
9	40	0.00422	2.37	6.18	27	14	8	24.9	14.3	8.91	95.4	28	15	8	60.8
8	36	0.00786	2.1	3.86	16	35	41	17.2	34.1	41.3	95.1	14	35	41	64.7
7	35	0.00921	2.04	4.69	21	34	15	19.5	32.6	13.7	232	19	31	13	114
6	34	0.0108	1.97	6.53	7	34	27	7.41	32.6	25.4	64.8	8	33	27	37.2
5	31	0.0176	1.75	4.25	44	47	23	45.4	46.8	22.2	196	46	47	22	80.5
4	31	0.0176	1.75	5.75	57	34	26	56.9	32.8	23.9	74.2	56	34	26	35
3	30	0.0208	1.68	4.92	42	29	39	42.9	29	38.7	121	42	28	40	67.8
2	28	0.0291	1.54	4.96	43	43	21	43.1	43.1	20.5	92.5	42	43	21	68.4
1	26	0.0411	1.39	4.97	23	32	27	23.4	32.4	27.7	76.8	23	32	27	56.3
