Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
16	3326	0	74.4	7.63	24	57	-9	26.7	28.8	17.6	843	54	30	-6	215
15	742	4.48e-27	26.3	7.35	-45	42	3	-31.6	35.3	1.05	404	-24	36	-21	171
14	417	3.73e-18	17.4	5.38	33	-51	54	42.8	-49.1	47	1.25e+03	39	-60	57	283
13	183	4.16e-10	9.38	6.69	66	-3	-24	64.3	-15.2	-20.6	523	66	-12	-24	192
12	122	1.79e-07	6.75	5.15	-27	-48	45	-40.1	-50.3	49	400	-33	-54	51	202
11	93	4.11e-06	5.39	5.17	0	3	-27	2.79	14	-28.3	473	9	18	-27	281
10	88	7.33e-06	5.13	4.26	-42	-36	48	-45.4	-30.3	46.1	326	-45	-42	60	168
9	69	7.53e-05	4.12	5.9	-39	9	42	-34.6	1.75	48.4	215	-42	6	42	128
8	58	0.000319	3.5	5.52	-42	27	33	-41.2	24.6	32.9	224	-42	24	33	144
7	57	0.000366	3.44	6.75	33	-48	-18	32.4	-46.3	-19.9	534	30	-48	-21	239
6	54	0.000552	3.26	4.62	3	-9	36	0.0117	-12.8	35.3	253	0	-21	33	154
5	36	0.00786	2.1	4.06	-39	-66	-27	-38.5	-64.4	-30.9	379	-39	-66	-24	210
4	36	0.00786	2.1	4.68	42	-75	-6	40.9	-72.8	-6.48	212	39	-78	-12	137
3	36	0.00786	2.1	4.01	48	-42	24	53.9	-44.3	24.8	350	51	-45	27	248
2	32	0.0149	1.83	4.9	-15	-90	-54	-20	-89.2	-52.1	155	-12	-87	-54	120
1	32	0.0149	1.83	4.68	75	-30	0	69	-34	-1.8	489	69	-33	0	200
