Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
10	690	9.41e-26	25	6.08	36	39	3	29.5	34.1	14.3	196	45	6	36	66.2
9	263	4.08e-13	12.4	5.74	-39	45	-6	-36.9	41.1	1.65	103	-48	39	6	61.5
8	123	1.79e-07	6.75	5.02	30	-45	39	34	-47.9	43.9	256	39	-57	54	98
7	110	5.96e-07	6.22	5.49	-27	-48	45	-34.9	-50.2	45.7	163	-33	-54	54	75.6
6	61	0.000214	3.67	5.38	-33	3	45	-33.5	0.871	48.6	86	-36	0	54	50.2
5	55	0.000481	3.32	4.63	30	-90	3	34.7	-83.7	-2.11	139	30	-90	3	64.3
4	36	0.00786	2.1	4.19	-33	6	27	-36	5.86	30.4	129	-39	6	30	72.5
3	34	0.0108	1.97	5.03	-15	-87	-54	-20.5	-89.2	-51.9	69.7	-15	-87	-54	47.9
2	33	0.0127	1.9	4.45	33	-45	-21	33.2	-46.5	-20.6	133	33	-48	-21	79.5
1	30	0.0208	1.68	4.75	60	45	0	58.7	41.3	-0.752	63	60	42	0	45.2
