Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
10	1924	5.2e-33	32.3	5.96	-39	-18	72	-41.8	-18.9	39.8	174	-21	-24	78	32.6
9	933	9.67e-20	19	6.03	60	-15	39	48.4	-33.1	48.7	135	45	-33	63	36.2
8	643	4.88e-15	14.3	5.36	39	-3	3	49	3.71	6.8	111	42	9	-15	31.3
7	239	5.36e-07	6.27	5.07	-48	-81	-18	-29.4	-86.6	-17.9	91.4	-12	-96	-15	31
6	233	7.75e-07	6.11	4.45	-9	39	24	-3.93	35.8	31.6	65.1	0	36	30	30
5	215	2.21e-06	5.66	5.3	45	51	-3	27.6	52.6	-2.65	70.2	39	63	6	34.1
4	168	3.64e-05	4.44	3.67	42	-57	6	48.2	-63.2	-9.33	74.1	51	-69	-3	37.2
3	158	6.82e-05	4.17	4.02	21	0	60	17.3	11.4	57.4	49.5	9	18	66	20.5
2	120	0.000854	3.07	5.39	9	-63	-51	15.7	-64.1	-48.6	56.8	9	-66	-51	23.2
1	107	0.00215	2.67	5.28	48	-6	-42	41.1	-7.5	-40.2	45.6	48	-6	-42	24.4
