Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
13	1156	2.51e-36	35.6	11.2	-18	-15	66	-14	-11.6	61.5	152	6	6	51	59.4
12	677	3.65e-25	24.4	8.05	24	-96	-12	26.5	-65.4	-16.2	132	24	-96	-12	55.8
11	646	2.31e-24	23.6	8.21	30	-93	12	32.9	-80.4	17.6	126	33	-78	30	47
10	611	1.92e-23	22.7	10.2	-27	-93	9	-23.7	-90.4	7.74	156	-27	-93	6	49.5
9	138	5.96e-08	7.22	7.17	51	-3	51	47	-0.0119	45.4	146	51	-3	54	58.2
8	116	3.58e-07	6.45	5.9	66	-42	36	56.6	-41.1	29.3	115	51	-45	27	61.3
7	75	3.97e-05	4.4	7.35	36	-42	42	37.9	-42.6	42.2	146	36	-42	42	73.7
6	74	4.49e-05	4.35	6.46	-42	-57	-33	-38.3	-56.7	-31.2	83.6	-42	-57	-30	50.5
5	57	0.000401	3.4	5.56	-30	-66	-54	-31.8	-59.8	-56.4	68.8	-27	-66	-54	43
4	43	0.00288	2.54	5.25	33	9	27	41.8	14.3	26.1	93.2	36	12	27	53.5
3	35	0.00977	2.01	5.58	39	36	27	36.7	33.9	25.1	86.7	39	36	27	57.4
2	28	0.0305	1.52	4.13	-21	15	-18	-18.9	11.8	-18.1	89.3	-15	6	-21	61.5
1	27	0.0361	1.44	7.92	63	9	12	59.9	8.81	14.1	90.7	63	9	12	53.4
