Cluster Index	Z	x	y	z	
7	7.54	35	17	35
7	7.01	37	11	38
7	6.04	72	24	28
7	5.56	57	17	41
7	4.92	58	20	33
7	4.85	58	16	32
6	4.35	75	79	35
6	4.29	54	96	33
6	4.22	74	69	15
6	4.18	71	72	34
6	4.17	65	71	35
6	4.14	66	82	17
5	4.38	33	50	78
5	4.35	21	45	69
5	4.33	30	58	75
5	4.29	23	44	68
5	4.04	18	58	62
5	4.03	25	46	54
4	4.02	44	68	67
4	3.98	48	70	63
4	3.76	47	73	58
4	3.72	48	79	65
4	3.4	46	79	59
4	3.36	43	67	77
3	4.5	21	48	32
3	4.48	11	41	44
3	4.04	17	41	36
3	3.93	12	31	38
3	3.71	24	42	38
3	3.14	25	37	34
2	3.84	66	41	64
2	3.36	65	37	63
2	3.28	73	55	50
2	3.22	76	56	50
2	3.05	80	57	51
2	2.95	71	39	58
1	3.34	77	46	33
1	3.29	81	40	35
1	3.26	71	41	25
1	3.18	73	45	32
1	3.15	67	44	37
1	3.13	71	38	24
