Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
10	891	7.61e-40	39.1	16.8	33	-45	-21	39.1	-69.5	-5.79	130	33	-45	-21	28.1
9	475	7.99e-26	25.1	13.6	-36	-45	-21	-35.4	-77.8	-12.3	80.8	-36	-45	-21	28
8	104	1.1e-08	7.96	7.09	3	-57	27	1.78	-54.7	25.6	56.9	3	-54	24	32.5
7	90	5.96e-08	7.22	5.92	3	51	-15	-0.667	50.3	-17.7	40.3	3	51	-15	24.3
6	45	0.000167	3.78	4.84	-54	-69	24	-53.6	-70.2	24.3	28.7	-57	-66	24	19.6
5	38	0.00066	3.18	5.41	6	63	9	4.4	59.6	16.8	43.1	-3	63	15	25.5
4	28	0.00548	2.26	4.4	-42	-57	24	-41.6	-56.7	21.7	24.2	-42	-57	24	17
3	28	0.00548	2.26	5.7	18	-6	-12	18.8	-6.86	-13.6	38.8	18	-6	-12	26.9
2	23	0.0173	1.76	4.92	39	15	27	37.6	13.8	27.7	30.9	39	15	27	22.6
1	21	0.0279	1.55	4.23	24	-39	36	24.3	-38.8	30.3	16.4	24	-39	24	12.2
