Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
18	2687	0	83.6	8.55	-36	-90	15	-17.2	-57.5	37.8	58.4	39	-57	60	21.2
17	1124	0	46	6.46	60	9	-6	50.8	-12.9	27.9	50.4	60	9	-6	21.3
16	1121	0	45.9	11.8	30	-60	-6	-0.805	-64.6	-10.7	83.2	24	-75	-18	28.9
15	126	5.08e-10	9.29	6.39	-42	39	33	-41.4	37.5	28.9	39.2	-42	39	33	21.9
14	89	1.19e-07	6.92	5.4	27	48	30	33.5	47.2	27.6	36	30	54	33	22.2
13	59	1.31e-05	4.88	4.36	-33	60	6	-22.7	61.3	4.19	34.5	-33	60	6	22.4
12	57	1.86e-05	4.73	4.26	-21	6	60	-25.2	1.31	62.6	27.3	-33	-3	66	17.7
11	45	0.000167	3.78	4.72	21	57	3	24.2	55.7	5.42	27.3	24	57	6	19.3
10	42	0.000299	3.53	5.46	-9	-33	81	-14.4	-30.3	79.5	38.8	-9	-33	81	24.3
9	34	0.0015	2.82	4.22	-33	-15	0	-36.7	-14.4	-2.58	24.9	-42	-15	-6	18.3
8	31	0.00284	2.55	4.41	18	-75	-51	15.7	-70	-52.3	23.9	12	-66	-54	18.6
7	31	0.00284	2.55	4.72	51	-69	-30	50.6	-67.1	-24.4	26.7	51	-60	-21	17.4
6	30	0.00353	2.45	5.5	-51	3	42	-50.5	7.45	41.8	35.7	-54	6	42	22.6
5	30	0.00353	2.45	5.07	18	-60	12	17.7	-58.9	12.5	32.5	18	-60	12	23.5
4	28	0.00548	2.26	4.91	-30	-54	-60	-29.5	-64.3	-59.4	34	-30	-54	-60	19.2
3	26	0.00861	2.07	3.7	-15	-63	9	-16.9	-62.6	13.1	32.1	-15	-63	6	21.9
2	24	0.0137	1.86	3.81	-15	21	-3	-11.3	18.1	-5.59	30	-6	9	-3	22.6
1	22	0.0219	1.66	4.15	36	21	36	40.8	17.5	40	20.6	39	24	36	17
