Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
11	2129	2.3e-35	34.6	7.52	-48	27	-27	-14.2	-39.6	-3.08	246	-27	-21	-24	69.1
10	673	1.58e-15	14.8	6.02	0	57	21	-1.34	52.2	4.9	299	0	57	-9	72.5
9	582	6.09e-14	13.2	5.73	54	6	-30	45.5	0.123	-24.4	168	27	-24	-27	69.8
8	290	5.96e-08	7.22	5.31	-36	-81	-42	-30.7	-85.1	-41.1	224	-36	-84	-39	111
7	194	7.57e-06	5.12	5.1	-54	36	36	-54.2	26.6	21.8	114	-63	24	12	51.1
6	159	6.46e-05	4.19	3.65	0	0	15	3.63	-7.64	0.798	240	-3	0	12	104
5	113	0.0014	2.85	4.76	-48	-78	12	-46.3	-71.5	25.1	97.5	-54	-66	30	48.4
4	106	0.00231	2.64	6.09	-30	72	-6	-23.6	66.1	-7.22	257	-30	66	-9	94.1
3	91	0.00705	2.15	4.09	-33	-24	-9	-37.2	-26.4	-3.95	164	-30	-30	-24	46
2	91	0.00705	2.15	4.79	60	-72	9	48.2	-62.2	23	69	42	-66	33	40.9
1	67	0.0472	1.33	5.93	54	51	-15	41.6	60.6	-3.87	149	48	51	-15	65.7
