Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
20	1088	7.01e-45	44.2	9.16	21	-96	-9	28.5	-75.4	-3.07	164	21	-99	-9	53.4
19	1034	2.26e-43	42.6	10.7	-18	-15	66	-11.5	-10.4	61.8	154	6	3	54	59.6
18	528	2.47e-27	26.6	10.2	-24	-90	9	-23.2	-92.8	3.02	181	-30	-96	3	57.2
17	102	1.94e-08	7.71	6.18	51	-42	27	55	-41.8	28.5	136	51	-45	27	67
16	75	1.13e-06	5.95	6.49	51	-3	51	48.2	-0.0355	45.9	146	51	-3	54	56.4
15	66	4.77e-06	5.32	6.23	33	-66	27	31.8	-68.6	30.8	106	33	-72	27	62.7
14	63	7.81e-06	5.11	5.12	6	-27	-9	-0.207	-25.3	-9.18	96.4	0	-15	-15	57.4
13	40	0.000489	3.31	5.44	-42	-57	-33	-39.1	-54.9	-32.7	74.7	-39	-54	-30	48.1
12	33	0.002	2.7	5.7	36	-42	42	38.4	-41.1	42.8	121	36	-42	42	72.2
11	29	0.00466	2.33	5.03	-30	-63	-54	-29.2	-62.8	-54.8	66.5	-27	-66	-54	46.3
10	26	0.00903	2.04	4.71	-12	63	-18	-3.8	62.8	-15.9	88.7	-12	63	-15	55.6
9	24	0.0142	1.85	4.71	-9	-72	-12	-8.59	-73	-13	63.9	-9	-72	-12	46
8	23	0.0179	1.75	4.22	-39	-27	21	-45.7	-24	21.7	85.2	-54	-21	21	53.2
7	22	0.0226	1.65	4.35	-27	-66	30	-28.3	-67.8	32.3	71.4	-27	-66	30	49
6	21	0.0287	1.54	4.33	9	-3	27	12.3	-11.2	29.1	62.7	15	-15	30	46.9
5	21	0.0287	1.54	4.17	45	24	12	37.9	26.1	5.61	76.9	33	27	0	52.4
4	21	0.0287	1.54	5.91	39	36	27	37.3	34.9	26.3	97.8	39	36	27	70.6
3	21	0.0287	1.54	5.01	51	9	0	49.2	7.32	1.04	76.5	48	6	0	55.3
2	19	0.0464	1.33	4.39	12	-69	42	16.3	-69	38.4	87.3	12	-69	39	55.3
1	19	0.0464	1.33	5.02	36	12	27	34.9	12.2	27	106	36	12	27	64.2
