Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
14	1940	1.28e-32	31.9	8.72	40	11	21	34.3	16	26	706	32	21	10	154
13	1304	1.32e-24	23.9	4.68	11	54	33	12.7	51.6	16.5	662	22	42	4	113
12	1138	2.59e-22	21.6	4.62	55	53	18	50.7	54.1	16.9	1.33e+03	44	67	10	141
11	677	3e-15	14.5	5.94	18	25	23	16	25.8	34.9	371	21	26	44	141
10	515	2.11e-12	11.7	4.69	45	20	36	47.8	27.1	39.3	429	44	25	44	142
9	386	6.48e-10	9.19	4.52	36	50	28	33.7	43.3	27	677	31	46	19	192
8	285	1.19e-07	6.92	5.2	48	47	35	47.3	47.7	33.5	369	46	46	38	157
7	230	1.73e-06	5.76	5.32	31	46	48	32.1	49.8	44.4	351	33	50	41	144
6	196	1.2e-05	4.92	5.36	17	46	42	16.5	46.4	36.9	383	16	46	42	164
5	152	0.000175	3.76	4.44	42	35	26	49.8	33.7	24.5	265	51	36	26	120
4	138	0.000434	3.36	6.49	21	34	4	21.4	34.6	4.59	1.03e+03	22	37	4	253
3	104	0.00449	2.35	4.28	15	33	25	15.2	33.3	24.3	281	14	33	25	126
2	87	0.0158	1.8	3.99	42	20	7	42.5	20.7	5.43	244	47	22	5	105
1	84	0.0199	1.7	4.34	23	67	9	21.5	66	8.99	1.18e+03	20	67	9	529
