Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
13	5140	0	63.5	12.7	19	25	19	34.1	20.2	24.3	654	38	9	27	115
12	2115	9.81e-35	34	10	30	45	49	39	51.7	38.5	353	48	54	38	102
11	1341	3.63e-25	24.4	9.1	12	45	37	17.3	46.1	36.7	347	12	45	36	85.8
10	345	4.09e-09	8.39	5.69	35	46	27	33.5	51	21.6	343	32	51	21	114
9	330	8.52e-09	8.07	9.8	23	22	42	22.7	24.3	41.4	373	22	21	43	94.6
8	285	5.96e-08	7.22	6.02	44	68	8	44.7	67.9	8.42	1.12e+03	46	70	8	444
7	248	5.96e-07	6.22	6.25	20	68	9	19.7	67.1	9.31	802	19	68	10	370
6	169	5.5e-05	4.26	5.74	16	60	18	19.2	63.6	20.5	275	17	62	18	92.6
5	140	0.000346	3.46	5.19	29	47	28	29.7	45	29.3	206	29	46	27	93.4
4	98	0.00635	2.2	5.54	25	37	22	25.8	37.2	22.7	172	25	37	22	78.5
3	90	0.0115	1.94	4.51	18	39	16	18.5	41	15.8	145	24	42	13	67.8
2	79	0.0269	1.57	5.59	16	30	34	15.3	30.7	35.9	142	15	30	36	71.9
1	75	0.0368	1.43	6.41	48	45	43	48	44.9	42.6	208	48	46	43	83.1
