Cluster Index	Z	x	y	z	
13	12.7	19	25	19
13	12.5	42	24	20
13	12.4	38	9	27
13	11.7	45	26	18
13	11.6	21	12	25
13	11.4	46	28	21
12	10	30	45	49
12	9.34	45	54	32
12	9.21	33	47	45
12	8.7	32	50	45
12	7.99	45	54	37
12	7.55	31	51	41
11	9.1	12	45	37
11	8.12	21	36	51
11	7.27	25	32	53
11	6.71	15	49	29
11	6.67	16	42	42
11	6.37	20	59	26
10	5.69	35	46	27
10	5.24	31	60	18
10	5.13	33	53	19
10	3.88	38	42	22
10	3.26	39	42	19
10	3.17	43	43	20
9	9.8	23	22	42
9	7.17	22	27	41
9	6.16	20	32	39
9	4.14	27	20	45
9	4.1	30	19	41
8	6.02	44	68	8
8	5.85	47	70	10
8	3.86	43	65	4
7	6.25	20	68	9
6	5.74	16	60	18
6	5.42	19	60	19
6	4.71	23	69	25
6	4.04	20	64	19
6	3.98	20	65	21
6	3.82	13	61	19
5	5.19	29	47	28
5	3.81	31	45	33
5	3.77	32	41	28
5	3.65	31	39	28
4	5.54	25	37	22
4	4.02	25	34	24
4	3.61	26	41	22
4	3.05	25	38	26
4	2.99	28	37	24
4	2.7	25	42	18
3	4.51	18	39	16
3	4.32	23	43	13
3	3.3	14	42	19
3	2.96	14	46	17
3	2.64	15	45	19
3	2.57	11	42	21
2	5.59	16	30	34
2	3.6	13	32	40
1	6.41	48	45	43
1	2.88	45	46	47
