Cluster Index	Z	x	y	z	
6	6.5	13	20	27
6	6.29	47	32	45
6	6.25	51	22	24
6	6.22	24	22	46
6	6.13	25	24	44
6	5.76	41	25	47
5	5.6	42	60	39
5	4.09	38	63	38
5	3.51	36	64	39
5	3.49	40	57	43
5	3.34	39	55	45
5	3.18	44	63	34
4	5.21	37	12	35
4	4.37	34	16	39
4	4.22	38	14	38
4	3.89	40	17	40
4	3.79	39	20	35
4	3.67	40	12	34
3	4.5	35	28	24
3	4.02	31	28	21
3	3.61	28	30	20
3	3.6	32	25	24
3	3.55	28	26	15
3	3.2	28	29	17
2	4.24	21	16	16
2	3.84	19	19	15
2	3.45	17	21	17
2	3.26	23	20	13
1	5.43	26	16	39
1	5.41	25	16	41
1	4.91	27	18	36
1	2.83	27	14	34
