Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
12	1153	1.23e-21	20.9	6.93	10	31	26	15	27.1	31.4	1e+03	10	31	26	237
11	882	8.27e-18	17.1	7.21	48	31	27	50.7	29.4	28.2	899	49	30	29	221
10	727	1.92e-15	14.7	5.75	41	25	47	42.7	29.4	45.3	510	46	26	45	174
9	391	1.3e-09	8.89	4.63	29	50	49	35.7	42.7	49	389	30	49	49	167
8	342	1.22e-08	7.92	5.06	15	47	31	14.3	49.9	27.7	509	15	48	25	212
7	199	1.73e-05	4.76	4.68	42	61	38	39.9	62.1	36.6	392	42	61	38	174
6	194	2.29e-05	4.64	5.91	26	16	39	26.8	15.9	36.3	306	26	14	34	166
5	166	0.000116	3.93	4.86	37	12	35	37.1	15.5	36.5	265	38	14	38	142
4	110	0.00405	2.39	4.57	23	57	35	22.2	58.8	36.2	445	22	59	35	203
3	94	0.0123	1.91	5.44	18	21	16	19.3	19.2	15.5	296	17	21	17	168
2	90	0.0165	1.78	4.51	46	48	11	46.3	45.7	12.1	343	48	47	12	191
1	81	0.0318	1.5	4.19	52	51	28	50.6	50.1	27.5	449	51	51	28	222
