Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
17	1308	0	46.1	6.76	0	15	63	4.51	36	29.5	117	0	57	0	49.5
16	213	2.78e-13	12.6	5.56	48	21	6	41.9	20	0.285	107	48	18	-6	56.1
15	210	3.78e-13	12.4	5.92	-39	27	-6	-42.3	18.3	-4.27	105	-45	18	-6	57.8
14	147	3.64e-10	9.44	5.87	-27	-96	-21	-24.7	-89.8	-26	88.6	-33	-87	-21	49.5
13	108	5.96e-08	7.22	5.11	48	-42	57	47.6	-52.9	51.3	97.3	51	-57	51	54
12	75	3.81e-06	5.42	4.86	-51	-54	54	-52.3	-51.6	45.4	93.4	-42	-60	57	42.3
11	70	7.93e-06	5.1	6.02	57	-24	-21	57.9	-24.3	-20.1	44.7	60	-24	-21	29.1
10	54	9.45e-05	4.02	5.39	-51	-27	-3	-60.1	-28.8	-10	55.3	-51	-27	-6	31.5
9	49	0.000215	3.67	4.59	-6	15	6	5.95	15	5.54	101	6	3	6	59.7
8	45	0.000425	3.37	4.36	-54	-27	57	-50.5	-24.3	56.5	74.1	-54	-27	57	41.9
7	39	0.00122	2.91	4.95	63	0	-33	59.5	-1.87	-25.6	45.8	63	-3	-27	34.3
6	33	0.00372	2.43	4.65	36	-90	-24	33.7	-85.7	-30.5	50.3	33	-84	-24	35.6
5	29	0.00809	2.09	4.67	-12	36	57	-5.91	38.4	54.4	74.8	0	39	54	48
4	28	0.00988	2.01	4.61	6	-66	-45	-0.615	-64.7	-44.8	74	3	-63	-51	47.8
3	28	0.00988	2.01	4.72	-48	-72	-27	-46.8	-73.6	-26.7	68.7	-45	-75	-24	40.5
2	22	0.0344	1.46	4.13	45	-57	-45	48	-63.6	-41.8	36.3	48	-66	-42	28.5
1	22	0.0344	1.46	4.25	48	42	-3	45	44.7	-3.93	67.8	48	42	-3	52.6
