Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
10	1501	1.15e-26	25.9	6.28	54	-33	45	37.6	-54.5	42.3	135	36	-66	54	33.4
9	1412	1.55e-25	24.8	6.78	-36	-60	-18	-19.9	-70.3	-20.4	112	-36	-63	-18	30
8	572	3.05e-13	12.5	6.11	51	6	21	40.7	6.6	42.1	98	33	0	63	32
7	518	2.73e-12	11.6	5.07	-48	-6	51	-41.2	7.1	37.8	77	-48	6	33	30.4
6	383	9.43e-10	9.03	6.26	-24	-60	51	-34.1	-48.6	47	113	-36	-60	60	31.6
5	358	2.99e-09	8.52	6.05	-6	-30	-6	-1.14	-19.3	-4.82	72	-3	-12	-15	34.5
4	338	7.67e-09	8.12	5.08	54	-51	-15	35.9	-54.4	-18.7	71.3	39	-57	-21	31.5
3	120	0.00128	2.89	5.16	42	42	12	43.1	46.4	17.4	62.5	42	45	12	34.4
2	97	0.00632	2.2	4.67	-27	-75	33	-27.6	-75	29.9	55.3	-27	-75	33	29.6
1	74	0.0352	1.45	4.52	3	3	51	4.31	3.39	52	56	3	6	51	30.1
