Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
18	179	4.85e-13	12.3	5.56	-42	-15	51	-37.6	-21.5	57.3	108	-21	-27	78	51.4
17	137	9.73e-11	10	5.53	0	-15	66	-4.2	-13.2	57.8	133	0	-15	72	70.4
16	95	5.96e-08	7.22	5.11	-45	-54	-9	-45.9	-61.8	-11	118	-48	-57	-12	59.3
15	78	4.77e-07	6.32	5.39	24	-60	45	25.2	-62.1	49.6	100	27	-57	54	62.9
14	70	1.79e-06	5.75	4.23	-21	-96	-9	-17.7	-97.6	-4.77	105	-6	-105	6	51.6
13	56	1.94e-05	4.71	6.08	42	-3	48	39.5	-4.59	48	88.5	42	-3	48	49.7
12	56	1.94e-05	4.71	4.83	-33	-48	-18	-33.2	-54.3	-19.1	105	-33	-63	-18	56.7
11	55	2.32e-05	4.63	5.01	-27	-75	30	-25.7	-75.3	29.5	72.5	-27	-75	30	46
10	51	4.8e-05	4.32	4.49	6	-60	0	8.44	-58.3	-3.4	146	9	-63	9	83.3
9	41	0.000322	3.49	4.32	48	-66	-6	45.9	-69	-5.58	123	48	-69	-3	76.1
8	39	0.000479	3.32	3.82	-6	-69	3	-3.75	-79.8	5.32	256	0	-75	0	91.5
7	35	0.00109	2.96	5.9	-24	-54	48	-25.9	-55.4	50.1	68.5	-27	-57	51	45.9
6	27	0.00616	2.21	5.58	33	-72	24	32.5	-73.5	24.4	88.2	33	-75	24	50.1
5	25	0.00973	2.01	5.11	-36	-39	42	-36.6	-38.8	44	72.6	-39	-39	45	46.9
4	25	0.00973	2.01	4.31	-15	-63	3	-15.5	-59.6	1.61	193	-15	-57	3	106
3	22	0.0198	1.7	4.28	51	-33	45	48.8	-35	46.7	75.1	48	-42	51	50.5
2	21	0.0252	1.6	4.36	9	-24	-33	9.86	-27.2	-31.6	65.4	9	-18	-33	52.2
1	21	0.0252	1.6	4.26	-15	-18	3	-15.3	-19.4	4.56	83.2	-12	-18	6	60.1
