Cluster Index	Z	x	y	z	
9	5.25	14	30	20
9	4.24	9	32	20
9	4.23	10	30	26
9	4.18	9	34	20
9	4.13	11	30	23
9	3.9	15	32	22
8	4.81	27	44	19
8	4.71	29	43	19
8	4.26	29	50	17
8	4.16	29	48	18
8	3.25	31	48	15
7	4.85	48	30	16
7	3.9	43	32	16
7	3.79	44	30	18
6	4.52	24	25	7
6	4.26	21	30	7
6	4.09	19	30	7
6	3.26	23	21	6
5	4.33	23	17	13
5	3.64	21	21	13
4	4.35	42	55	22
4	4.21	44	56	23
4	3.64	44	55	20
4	3.33	46	55	25
4	3.28	45	53	21
3	4.66	9	39	33
3	4.33	8	42	32
2	5.01	29	55	30
2	4.49	29	54	27
2	4.47	31	54	25
1	4.39	46	40	17
1	3.76	47	36	19
